RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
93,"Rudy Gobert, UTAH",14,34.2,0.591,13.9,20,13,11.7,25.5,18.5,16.94,45.3,1.5
94,"Thomas Robinson, BKN",19,11.3,0.551,3.6,20.1,15.3,15.4,26.9,21,16.93,17.4,0.6
95,"Aaron Brooks, CHI",11,15,0.518,21.9,7.6,24.4,3.8,11.5,7.8,16.89,14.5,0.5
96,"Kosta Koufos, SAC",21,23.8,0.542,3.6,8.3,14.5,13.8,19.5,16.6,16.75,45.9,1.5
97,"C.J. McCollum, POR",21,35,0.524,15.2,9,25.3,1.8,9.2,5.6,16.73,68.4,2.3
98,"Harrison Barnes, GS",17,30.1,0.604,13.8,7.5,16.6,4.8,12.8,9.1,16.63,46.8,1.6
99,"Jordan Hill, IND",17,23.4,0.489,10.7,10.7,19.1,14.7,22.6,18.7,16.55,35.3,1.2
100,"Bradley Beal, WSH",14,35.8,0.554,13.6,11.8,23.8,3,11.9,7.4,16.52,45,1.5
101,"Marcin Gortat, WSH",16,28.9,0.557,11.1,15.4,18.2,9.4,24,16.6,16.31,39.4,1.3
102,"Jordan Clarkson, LAL",19,32.1,0.562,12.5,9.6,20.5,2.8,8.4,5.6,16.29,48,1.6
103,"Alec Burks, UTAH",18,28.6,0.533,12,10.2,24.8,2.5,13.6,7.9,16.17,43.5,1.5
104,"Mirza Teletovic, PHX",20,16.6,0.574,12.3,6.2,17.4,3.9,14.5,9.1,16.14,22.9,0.8
105,"Mo Williams, CLE",17,28.6,0.577,23.4,11.7,22,0.7,10.3,5.5,16.11,37.1,1.2
106,"David Lee, BOS",19,15.4,0.561,19.3,15.2,19.9,9.3,19.2,14.1,16.1,20.1,0.7
,"Zach Randolph, MEM",15,30.1,0.5,8.3,11.3,22.6,10.5,22.1,16,16.1,31,1
108,"Kirk Hinrich, CHI",8,18.3,0.645,23.7,8.4,16.4,0.7,5.9,3.4,16.06,12.1,0.4
109,"Alexis Ajinca, NO",16,11.6,0.568,4.5,12.5,18.1,11,22.9,16.8,16.04,15.1,0.5
110,"Ramon Sessions, WSH",17,18.2,0.543,22.2,10.6,20.2,1.4,12,6.6,16,23,0.8
111,"Ian Mahinmi, IND",18,24.6,0.538,14.6,12.4,14.4,10,21,15.5,15.93,35.3,1.2
,"Brandon Bass, LAL",18,16.6,0.577,14.3,12.6,14.3,11.6,16.4,14,15.93,19.8,0.7
113,"Nene Hilario, WSH",12,17.4,0.571,19.3,10.6,18.4,3.7,27.9,15.6,15.9,16.5,0.6
114,"Kyle O'Quinn, NY",17,12.2,0.462,15.5,14.6,19.3,13.8,22,17.9,15.89,13.6,0.5
,"Kent Bazemore, ATL",17,27.5,0.586,15.5,11.2,17.9,0.7,15.9,8.4,15.89,37.5,1.3
