aquired,date,notes,relinquished,team
,2002-01-29,right bursa sac / hip injury (DNP),Theo Ratliff,Hawks
,2002-01-29,flu (DNP),Alonzo Mourning,Heat
,2002-01-29,sore lower back (DNP),Scott Williams,Nuggets
,2002-01-29,strained right thigh (out 4-6 weeks),Hakeem Olajuwon,Raptors
,2002-01-29,bruised right quadriceps (DNP),David Robinson,Spurs
,2002-01-30,sprained left ankle & Achilles tendon (DNP),Aaron McKie,76ers
,2002-01-30,surgery to repair ingrown toenails (DNP),Jason Williams,Grizzlies
,2002-01-30,right bursa sac / hip injury (DNP),Theo Ratliff,Hawks
,2002-01-30,intestinal virus (DNP),Horace Grant,Magic
,2002-01-30,sore left hip (DNP),Jamaal Tinsley,Pacers
,2002-01-31,strained left patella tendon (DNP),Corey Maggette,Clippers
,2002-01-31,plantar fasciatis in both feet (DNP),Mateen Cleaves,Kings
,2002-01-31,sore left knee (DNP),Eduardo Najera,Mavericks
,2002-01-31,lower abdominal strain (DNP),Charles Smith (Cornelius),Spurs
,2002-01-31,flu (DNP),Tony Delk,Suns
,2002-01-31,viral infection (DNP),Hubert Davis,Wizards
,2002-02-01,recovering from surgery on toe (DNP),Jason Williams,Grizzlies
,2002-02-01,bruised right hip (DNP),Theo Ratliff,Hawks
,2002-02-01,sore left ankle (DNP),David Wesley,Hornets
,2002-02-01,plantar fasciatis in both feet (DNP),Mateen Cleaves,Kings
,2002-02-01,intestinal virus (DNP),Horace Grant,Magic
,2002-02-01,migraine headache (DNP),Steve Francis,Rockets
,2002-02-01,sore left foot (DNP),Jake Voskuhl,Suns
,2002-02-01,viral infection (DNP),Hubert Davis,Wizards
,2002-02-02,strained left ankle (DNP),Aaron McKie,76ers
,2002-02-02,sprained left big toe (DNP),Derek Anderson,Blazers
,2002-02-02,strained lower back (DNP),Rafer Alston,Bucks
,2002-02-02,sore right wrist (DNP),Charles Oakley,Bulls
,2002-02-02,strained left patella tendon (DNP),Corey Maggette,Clippers
,2002-02-02,right bursa sac / hip injury (DNP),Theo Ratliff,Hawks
,2002-02-02,torn muscle and bone bruise in right hip (out 3-6 weeks),Marcus Camby,Knicks
,2002-02-03,sprained left big toe (DNP),Derek Anderson,Blazers
,2002-02-03,sprained right wrist (DNP),Charles Oakley,Bulls
,2002-02-03,bruised left hip (DNP),Elton Brand,Clippers
,2002-02-03,recovering from surgery on toe (DNP),Jason Williams,Grizzlies
,2002-02-03,sore left ankle (DNP),David Wesley,Hornets
,2002-02-03,intestinal virus (DNP),Horace Grant,Magic
,2002-02-03,sprained right ankle (DNP),Donnell Harvey,Mavericks
,2002-02-03,sore left knee (DNP),Eduardo Najera,Mavericks
,2002-02-03,bruised left shoulder (DNP),Carlos Rogers,Pacers
,2002-02-03,left foot injury (DNP),Jake Voskuhl,Suns
,2002-02-03,sprained left ankle (DNP),Rodney Rogers,Suns
,2002-02-03,flu (DNP),Cedric Henderson (E.),Warriors
,2002-02-03,viral infection (DNP),Hubert Davis,Wizards
,2002-02-04,sprained left ankle (DNP),Aaron McKie,76ers
,2002-02-04,broken bone in left foot (out 3-4 weeks),David Wesley,Hornets
,2002-02-04,sore lower back (DNP),Brent Price,Kings
,2002-02-04,sprained right ankle (DNP),Jerome Williams,Raptors
,2002-02-04,flu (DNP),Kelvin Cato,Rockets
,2002-02-05,sprained left ankle (DNP),Aaron McKie,76ers
,2002-02-05,swollen left knee (DNP),Derrick Coleman,76ers
,2002-02-05,sprained left big toe (DNP),Derek Anderson,Blazers
,2002-02-05,recovering from surgery on toe (DNP),Jason Williams,Grizzlies
,2002-02-05,sprained right toe (DNP),Stromile Swift,Grizzlies
,2002-02-05,bruised right hip (DNP),Theo Ratliff,Hawks
,2002-02-05,left knee tendinitis (DNP),Eduardo Najera,Mavericks
,2002-02-05,strained left calf (DNP),Greg Buckner,Mavericks
,2002-02-05,sprained left ankle (DNP),Jermaine O'Neal,Pacers
,2002-02-05,strained left shoulder (DNP),Carlos Rogers,Pacers
,2002-02-05,sprained right ankle (DNP),Jerome Williams,Raptors
,2002-02-05,sprained left ankle (DNP),Tracy Murray,Raptors
,2002-02-05,neck spasms (DNP),Vin Baker,Sonics
,2002-02-05,viral infection (DNP),Hubert Davis,Wizards
,2002-02-06,sprained left big toe (DNP),Derek Anderson,Blazers
,2002-02-06,sore right wrist (DNP),Charles Oakley,Bulls
,2002-02-06,sore lower back (DNP),Brent Price,Kings
,2002-02-06,flu (DNP),Chris Webber,Kings
,2002-02-06,sore feet (DNP),Shaquille O'Neal,Lakers
,2002-02-06,left knee tendinitis (DNP),Eduardo Najera,Mavericks
,2002-02-06,strained left calf (DNP),Greg Buckner,Mavericks
,2002-02-06,strained left calf (DNP),Kenny Thomas,Rockets
,2002-02-06,left foot injury (DNP),Jake Voskuhl,Suns
,2002-02-06,sprained left ankle (DNP),Rodney Rogers,Suns
,2002-02-06,sore left knee (DNP),Terrell Brandon,Timberwolves
,2002-02-07,sprained left ankle (DNP),Aaron McKie,76ers
,2002-02-07,swollen left knee (DNP),Derrick Coleman,76ers
,2002-02-07,sprained left ankle (DNP),Tim Thomas,Bucks
,2002-02-07,recovering from surgery on toe (DNP),Jason Williams,Grizzlies
,2002-02-07,sprained right toe (DNP),Stromile Swift,Grizzlies
,2002-02-07,right hip injury (DNP),Theo Ratliff,Hawks
,2002-02-07,sore lower back (DNP),Brent Price,Kings
,2002-02-07,upper respiratory infection (DNP),Howard Eisley,Knicks
,2002-02-07,high right ankle sprain (DNP),Jerome Williams,Raptors
,2002-02-07,sprained left ankle (DNP),Tracy Murray,Raptors
,2002-02-07,viral infection (DNP),Hubert Davis,Wizards
,2002-02-07,viral infection (DNP),Jahidi White,Wizards
,2002-02-12,sprained right wrist (DNP),Charles Oakley,Bulls
,2002-02-12,recovering from surgery on toe (DNP),Jason Williams,Grizzlies
,2002-02-12,sprained right toe (DNP),Stromile Swift,Grizzlies
,2002-02-12,right hip injury (DNP),Theo Ratliff,Hawks
,2002-02-12,sore lower back (DNP),Brent Price,Kings
,2002-02-12,strained left calf (DNP),Dell Curry,Raptors
,2002-02-12,high right ankle sprain (DNP),Jerome Williams,Raptors
,2002-02-12,migraine headache (DNP),Steve Francis,Rockets
,2002-02-13,sprained left big toe (DNP),Sam Cassell,Bucks
,2002-02-13,sprained right wrist (DNP),Charles Oakley,Bulls
,2002-02-13,sprained/swollen left knee (DNP),Vernell Coles / Bimbo Coles,Cavaliers
,2002-02-13,strained left calf (DNP),Dell Curry,Raptors
,2002-02-13,strained left hamstring (DNP),Gary Trent,Timberwolves
,2002-02-14,sprained left ankle (DNP),Aaron McKie,76ers
,2002-02-14,sprained right ankle (out 4-6 weeks),Lamar Odom,Clippers
,2002-02-14,sprained right ankle (DNP),Brevin Knight,Grizzlies
,2002-02-14,recovering from surgery on toe (DNP),Jason Williams,Grizzlies
,2002-02-14,strained lower back (DNP),Brent Price,Kings
,2002-02-14,left elbow inflammation (DNP),Nick Van Exel,Nuggets
,2002-02-14,three dislocated toes on left foot (out indefinitely),Vin Baker,Sonics
,2002-02-14,surgery on left knee to repair cartilage fracture on the surface of his left femur (date approximate),Terrell Brandon,Timberwolves
,2002-02-15,flu (DNP),Jason Caffey,Bucks
,2002-02-15,sprained left big toe (DNP),Sam Cassell,Bucks
,2002-02-15,strained left calf (DNP),Brad Miller,Bulls
,2002-02-15,sore right wrist (DNP),Charles Oakley,Bulls
,2002-02-15,strained left groin (DNP),Eddie Robinson,Bulls
,2002-02-15,right hip injury (DNP),Theo Ratliff,Hawks
,2002-02-15,bruised right forearm (DNP),Kenyon Martin,Nets
,2002-02-15,left elbow inflammation (DNP),Nick Van Exel,Nuggets
,2002-02-15,strained left calf (DNP),Dell Curry,Raptors
,2002-02-15,left foot injury (DNP),Jake Voskuhl,Suns
,2002-02-15,strained left hamstring (DNP),Gary Trent,Timberwolves
,2002-02-15,sprained left ankle (DNP),Larry Hughes,Warriors
,2002-02-15,ill (DNP),Marc Jackson,Warriors
,2002-02-16,flu (DNP),Jason Caffey,Bucks
,2002-02-16,strained left calf,Brad Miller,Bulls
,2002-02-16,sore right wrist (DNP),Charles Oakley,Bulls
,2002-02-16,strained left groin (DNP),Eddie Robinson,Bulls
,2002-02-16,dislocated left pinky finger (DNP),Ron Artest / Metta World Peace,Bulls
,2002-02-16,sprained left mid-foot (DNP),Quentin Richardson,Clippers
,2002-02-16,three dislocated toes on left foot (DNP),Vin Baker,Sonics
,2002-02-17,sprained toe (DNP),Allen Iverson,76ers
,2002-02-17,strained lower back (DNP),Brent Price,Kings
,2002-02-17,chicken pox (DNP),Gerald Wallace,Kings
,2002-02-17,plantar fasciatis in both feet (DNP),Mateen Cleaves,Kings
,2002-02-17,left elbow inflammation (DNP),Nick Van Exel,Nuggets
,2002-02-17,sprained left ankle (DNP),Ryan Bowen,Nuggets
,2002-02-17,strained left calf (DNP),Dell Curry,Raptors
,2002-02-17,three dislocated toes on left foot (DNP),Vin Baker,Sonics
,2002-02-17,left foot injury (DNP),Jake Voskuhl,Suns
,2002-02-17,strained left hamstring (DNP),Gary Trent,Timberwolves
,2002-02-18,sprained left ankle (DNP),Aaron McKie,76ers
,2002-02-18,sprained left big toe (DNP),Sam Cassell,Bucks
,2002-02-18,sore right wrist (DNP),Charles Oakley,Bulls
,2002-02-18,strained left groin (DNP),Eddie Robinson,Bulls
,2002-02-18,left elbow inflammation (DNP),Nick Van Exel,Nuggets
,2002-02-18,sprained left ankle (DNP),Ryan Bowen,Nuggets
,2002-02-18,strained left calf (DNP),Dell Curry,Raptors
,2002-02-19,sprained left ankle (DNP),Aaron McKie,76ers
,2002-02-19,strained right groin (DNP),Grant Long,Grizzlies
,2002-02-19,strained lower back (DNP),Brent Price,Kings
,2002-02-19,chicken pox (DNP),Gerald Wallace,Kings
,2002-02-19,plantar fasciatis in both feet (DNP),Mateen Cleaves,Kings
,2002-02-19,plantar fasciaitis in left foot (DNP),Todd MacCulloch,Nets
,2002-02-19,three dislocated toes on left foot (DNP),Vin Baker,Sonics
,2002-02-19,left foot injury (DNP),Jake Voskuhl,Suns
,2002-02-19,strained left hamstring (DNP),Gary Trent,Timberwolves
,2002-02-20,sprained left ankle (DNP),Aaron McKie,76ers
,2002-02-20,sprained right wrist (DNP),Charles Oakley,Bulls
,2002-02-20,strained left groin (DNP),Eddie Robinson,Bulls
,2002-02-20,flu (DNP),Marcus Fizer,Bulls
,2002-02-20,stretched tendon in right ring finger (DNP),Elton Brand,Clippers
,2002-02-20,left elbow inflammation (DNP),Nick Van Exel,Nuggets
,2002-02-20,sprained left ankle (DNP),Ryan Bowen,Nuggets
,2002-02-20,back spasms (DNP),Tracy Murray,Raptors
,2002-02-20,three dislocated toes on left foot (DNP),Vin Baker,Sonics
,2002-02-20,right ankle inflammation (DNP),Chris Mills,Warriors
,2002-02-20,bruised right knee (DNP),Michael Jordan (J.),Wizards
,2002-02-21,viral infection (DNP),Scottie Pippen,Blazers
,2002-02-21,strained right groin (DNP),Grant Long,Grizzlies
,2002-02-21,recovering from surgery on toe (DNP),Jason Williams,Grizzlies
,2002-02-21,strained lower back (DNP),Brent Price,Kings
,2002-02-21,chicken pox (DNP),Gerald Wallace,Kings
,2002-02-21,plantar fasciatis in both feet (DNP),Mateen Cleaves,Kings
,2002-02-21,sprained left ankle (DNP),Kelvin Cato,Rockets
,2002-02-21,nausea (DNP),Stephen Jackson,Spurs
,2002-02-21,strained left hamstring (DNP),Gary Trent,Timberwolves
,2002-02-22,strained left groin (DNP),Eddie Robinson,Bulls
,2002-02-22,sprained left wrist (DNP),Fred Hoiberg,Bulls
